"===================================================================================================="
"03/07/2020 01:19:12"
"python calibrate.py --seed kl0 --country GER --area KL --rollouts 96 --ninit 20 --niters 80 --load /lustre/home/hkremer/covid19-model/calibration/simulator/sim/logs/calibration_kl0_state.pk"
"===================================================================================================="
"Downsampling :                    10"
"Simulation population:            10403"
"Simulation population (unscaled): 104043"
"Area population :                 104043"
"Initial seed counts :             {'expo': 27, 'isym_posi': 8, 'iasy': 5}"
"Target cases per age group at t=0:   8.0 [0.0, 0.0, 4.0, 4.0, 0.0, 0.0]"
"Target cases per age group at t=T:   129.0 [3.0, 3.0, 67.0, 33.0, 15.0, 8.0]"
"Daily test capacity in sim.:         8"
"Parameters : 3"
"Parameter bounds: {'beta_site': [0.0, 1.5], 'beta_household': [0.0, 1.5], 'p_stay_home': [0.0, 1.0]}"
"Simulation starts at : 2020-03-15 00:00:00"
"             ends at : 2020-05-05 00:00:00"
"Lockdown   starts at : 2020-03-23 00:00:00"
"             ends at : 2020-05-03 00:00:00"
"Cases compared until : 2020-05-03 00:00:00"
"            for days : 49"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","  p_home","walltime"
" -20","  -7940.9915","  -7940.9915","  120","  0.7500","  0.7500","  0.5000","  0.0000"
" -19","  -7229.8330","  -7229.8330","  119","  1.1250","  0.3750","  0.7500","  0.0000"
" -18","  -7229.8330"," -10653.7915","  183","  0.3750","  1.1250","  0.2500","  0.0000"
" -17","  -6538.1395","  -6538.1395","  127","  0.5625","  0.5625","  0.6250","  0.0000"
" -16","  -3917.7214","  -3917.7214","   55","  1.3125","  1.3125","  0.1250","  0.0000"
" -15","  -3917.7214","  -7807.4774","  118","  0.9375","  0.1875","  0.3750","  0.0000"
" -14","   -382.0313","   -382.0313","  -48","  0.1875","  0.9375","  0.8750","  0.0000"
" -13","   -382.0313","  -3161.1541","  102","  0.2812","  0.4688","  0.3125","  0.0000"
" -12","   -382.0313","  -6067.1689","  100","  1.0312","  1.2188","  0.8125","  0.0000"
" -11","   -382.0313","  -6983.4243","  104","  1.4062","  0.0938","  0.5625","  0.0000"
" -10","   -382.0313","  -6020.3474","   86","  0.6562","  0.8438","  0.0625","  0.0000"
"  -9","   -249.7811","   -249.7811","  -13","  0.4688","  0.2812","  0.9375","  0.0000"
"  -8","   -249.7811","  -4318.1988","   61","  1.2188","  1.0312","  0.4375","  0.0000"
"  -7","   -249.7811","  -5396.8307","   77","  0.8438","  0.6562","  0.1875","  0.0000"
"  -6","   -249.7811","   -855.3785","  -63","  0.0938","  1.4062","  0.6875","  0.0000"
"  -5","   -249.7811","   -667.6356","  -58","  0.1406","  0.7031","  0.8438","  0.0000"
"  -4","   -249.7811","  -5145.0970","   74","  0.8906","  1.4531","  0.3438","  0.0000"
"  -3","   -249.7811","  -4419.3986","   64","  1.2656","  0.3281","  0.0938","  0.0000"
"  -2","   -249.7811","  -8783.3228","  156","  0.5156","  1.0781","  0.5938","  0.0000"
"  -1","   -249.7811"," -10049.3454","  188","  0.7031","  0.1406","  0.4688","  0.0000"
"   0","   -249.7811","  -4456.9947","   64","  1.2413","  1.3358","  0.9901","  0.0000"
"   1","   -249.7811","  -1320.9130","   18","  0.4602","  1.2347","  0.8606","  0.0000"
"   2","   -249.7811","  -6164.2708","   89","  0.8024","  0.7209","  0.2934","  0.0000"
"   3","   -249.7811","  -5341.5976","   77","  1.0196","  1.1487","  0.5354","  0.0000"
"   4","   -249.7811","  -4639.5247","   72","  1.2401","  1.0738","  0.8792","  0.0000"
"   5","   -249.7811","  -9492.7558","  176","  0.3001","  0.6230","  0.0346","  0.0000"
"   6","   -249.7811","  -7478.8004","  112","  0.5871","  0.5311","  0.1788","  0.0000"
"   7","   -249.7811","  -6964.1029","  100","  0.7006","  1.1476","  0.3384","  0.0000"
"   8","   -249.7811","  -3991.0459","   56","  1.5000","  0.4220","  0.2688","  0.0000"
"   9","   -249.7811","  -4514.5636","  122","  0.9114","  0.0000","  0.3552","  0.0000"
"  10","   -249.7811","  -5527.9781","   81","  1.3401","  0.3888","  0.9828","  0.0000"
"  11","   -249.7811","  -8051.2831","  119","  0.6764","  0.6764","  0.4051","  0.0000"
"  12","   -217.4222","   -217.4222","  -22","  0.3400","  0.6831","  0.8784","  0.0000"
"  13","   -217.4222","  -4129.3659","   60","  1.4041","  1.1189","  0.8186","  0.0000"
"  14","   -217.4222","  -4312.8749","   61","  1.2112","  0.5086","  0.1125","  0.0000"
"  15","   -217.4222","  -3969.8579","   56","  1.3872","  1.1808","  0.5248","  0.0000"
"  16","   -217.4222","   -298.1916","    3","  0.2419","  1.3910","  0.4883","  0.0000"
"  17","   -217.4222","  -4795.9413","   70","  1.2655","  0.7860","  0.7171","  0.0000"
"  18","   -217.4222","  -4364.4592","   61","  1.2227","  1.3106","  0.6924","  0.0000"
"  19","   -217.4222","  -4634.7126","   66","  1.0761","  1.2368","  0.3870","  0.0000"
"  20","   -217.4222","  -4848.3587","   76","  1.2399","  1.3640","  0.8574","  0.0000"
"  21","   -217.4222","  -1187.9235","  -70","  0.0621","  0.3907","  0.5179","  0.0000"
"  22","   -217.4222","  -4407.3480","   62","  1.0280","  1.3435","  0.0748","201.2874"
"  23","   -217.4222","  -5680.4492","   92","  0.7206","  1.0735","  0.8417"," 13.9588"
"  24","   -217.4222","  -5395.0869","   80","  1.1928","  0.5447","  0.6218"," 77.0816"
"  25","   -217.4222","  -6716.2405","   98","  0.8422","  0.5789","  0.4040","111.3690"
"  26","   -175.0300","   -175.0300","  -30","  0.1293","  0.3031","  0.1994","  7.2305"
"  27","   -175.0300","  -4818.3149","   69","  0.9510","  0.9298","  0.2409","178.7247"
"  28","   -175.0300"," -10282.9610","  158","  0.5769","  1.3509","  0.4760"," 47.1406"
"  29","   -175.0300","  -4004.4292","   56","  1.2847","  0.9823","  0.1027","205.1047"
"  30","   -175.0300","  -4564.1304","   66","  1.3314","  0.5794","  0.7108"," 58.1108"
"  31","   -175.0300","  -5905.9498","   85","  0.7095","  0.9529","  0.1678","165.8651"
"  32","   -175.0300","  -4054.7173","   57","  1.3267","  1.3941","  0.5797","117.0494"
"  33","   -175.0300","  -3057.2602","   54","  0.8661","  0.1940","  0.9489"," 12.2337"
"  34","   -175.0300","  -3958.0415","   57","  1.4271","  0.4087","  0.1129","205.5377"
"  35","   -175.0300","  -6931.2919","  103","  0.7991","  1.4306","  0.5439"," 67.5365"
"  36","   -175.0300","  -3794.0672","   52","  1.4662","  1.1894","  0.1981","205.3466"
"  37","   -175.0300","  -4119.0758","   75","  0.5133","  1.1595","  0.7250"," 13.3090"
"  38","   -175.0300","  -1946.9819","  -83","  0.0045","  0.3340","  0.7928","  5.6197"
"  39","   -175.0300","  -3682.0400","   51","  1.4292","  1.3605","  0.0316","212.4613"
"  40","   -175.0300","  -6932.5448","  101","  0.5758","  0.8540","  0.0867","158.2080"
"  41","   -175.0300","  -4045.8202","   57","  1.2211","  0.9966","  0.1005","208.5214"
"  42","   -175.0300","  -4868.3782","   69","  0.9891","  1.0756","  0.1913","189.5567"
"  43","   -167.4102","   -167.4102","   -9","  0.3004","  0.4548","  0.6327"," 10.1142"
"  44","   -167.4102","  -4582.1200","   65","  0.9951","  1.4717","  0.2398","186.2244"
"  45","   -167.4102","  -7585.0635","  128","  0.9864","  0.5835","  0.8080"," 22.0616"
"  46","   -167.4102","  -3716.7733","   52","  1.4888","  0.8634","  0.0025","213.1995"
"  47","   -167.4102","  -9245.9055","  148","  0.7189","  1.1501","  0.5926"," 36.9641"
"  48","   -167.4102","  -4909.0755","   71","  1.1842","  0.6222","  0.4584","142.5082"
"  49","   -167.4102","  -4999.7236","   75","  1.2938","  0.6495","  0.9281"," 23.4097"
"  50","   -167.4102","  -5339.2513","   76","  0.9276","  1.3715","  0.4677","116.9506"
"  51","   -167.4102","  -5607.4220","   83","  1.0871","  1.1877","  0.7006"," 45.0255"
"  52","   -167.4102","  -5758.3528","   84","  1.3072","  0.1728","  0.4148","145.3782"
"  53","   -167.4102","  -4772.9083","   68","  0.9059","  1.1282","  0.1201","193.3297"
"  54","   -167.4102","  -6793.6153","  100","  0.7662","  0.7926","  0.4139","101.7103"
"  55","   -167.4102","  -5622.3000","   88","  1.0920","  0.8402","  0.7746"," 31.3600"
"  56","   -167.4102","  -4940.8322","   71","  1.3694","  0.3208","  0.4949","135.5131"
"  57","   -167.4102","  -4465.5980","   64","  1.3542","  0.3220","  0.2507","193.3189"
"  58","   -167.4102","  -6629.4022","   95","  0.6985","  1.3576","  0.3742","108.6909"
"  59","   -167.4102","  -3985.6495","   56","  1.5000","  0.6222","  0.5296","147.2231"
"  60","   -167.4102","   -847.6195","  -61","  0.0614","  1.0254","  0.1925","  7.3679"
"  61","   -167.4102","  -4507.7105","   65","  1.2736","  0.4478","  0.1640","196.8154"
"  62","   -167.4102","  -8713.8799","  131","  0.6841","  0.9878","  0.4958"," 62.3540"
"  63","   -167.4102","   -207.5052","  -34","  0.0918","  0.6875","  0.0637","  9.3162"
"  64","   -167.4102","  -4000.3421","   57","  1.2801","  1.1559","  0.2084","205.5173"
"  65","   -167.4102","  -4221.3708","   59","  1.2042","  1.3785","  0.2241","196.6422"
"  66","   -167.4102","  -6554.9179","  104","  0.9590","  1.2262","  0.7640"," 26.0724"
"  67","   -167.4102","  -5108.3630","   80","  1.1983","  0.8189","  0.8932"," 22.6800"
"  68","   -167.4102","  -9525.1632","  146","  0.5840","  0.9104","  0.4175"," 63.0220"
"  69","   -167.4102","  -5006.8947","   73","  1.1379","  0.7594","  0.6604"," 62.5043"
"  70","   -167.4102","  -5480.2004","   79","  1.1640","  0.4003","  0.4847","127.9983"
"  71","   -167.4102","  -5560.8604","   85","  1.1665","  0.7089","  0.7446"," 38.3183"
"  72","   -167.4102","  -5312.5336","  109","  0.7411","  0.2172","  0.7142"," 17.2859"
"  73","   -167.4102","  -6799.0356","  105","  0.9198","  1.0917","  0.6301"," 51.3261"
"  74","   -167.4102","  -4591.8925","   66","  1.0526","  1.0814","  0.3371","172.2151"
"  75","   -167.4102","   -709.0253","  -60","  0.1214","  1.1346","  0.9324","  8.0701"
"  76","   -167.4102","  -8314.1096","  129","  0.9171","  0.3921","  0.5878"," 52.3162"
"  77","   -167.4102","  -5225.4795","   76","  1.0715","  1.0058","  0.6054"," 81.8445"
"  78","   -167.4102","  -5355.8202","   77","  0.9764","  1.0976","  0.5396"," 94.6855"
"  79","   -167.4102","  -8690.7213","  138","  1.0877","  0.1469","  0.5827"," 55.7596"
