"===================================================================================================="
"29/06/2020 12:18:44"
"python calibrate.py --seed rh0 --country GER --area RH --rollouts 96 --ninit 20 --niters 80"
"===================================================================================================="
"Downsampling :                    10"
"Simulation population:            18697"
"Simulation population (unscaled): 187156"
"Area population :                 187156"
"Initial seed counts :             {'expo': 27, 'isym_posi': 8, 'iasy': 5}"
"Target cases per age group at t=0:   8.0 [0.0, 0.0, 1.0, 6.0, 1.0, 0.0]"
"Target cases per age group at t=T:   199.0 [4.0, 5.0, 38.0, 99.0, 48.0, 5.0]"
"Daily test capacity in sim.:         22"
"Parameters : 3"
"Parameter bounds: {'beta_site': [0.0, 1.5], 'beta_household': [0.0, 1.5], 'p_stay_home': [0.0, 1.0]}"
"Simulation starts at : 2020-03-10 00:00:00"
"             ends at : 2020-05-05 00:00:00"
"Lockdown   starts at : 2020-03-23 00:00:00"
"             ends at : 2020-05-03 00:00:00"
"Cases compared until : 2020-05-03 00:00:00"
"            for days : 54"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","  p_home","walltime"
" -20"," -62125.8909"," -62125.8909","  332","  0.7500","  0.7500","  0.5000","186.2138"
" -19"," -54029.3729"," -54029.3729","  296","  1.1250","  0.3750","  0.7500","132.5137"
" -18"," -54029.3729"," -93738.5237","  489","  0.3750","  1.1250","  0.2500","158.7926"
" -17"," -54029.3729"," -93566.3453","  503","  0.5625","  0.5625","  0.6250"," 75.4575"
" -16"," -50366.1272"," -50366.1272","  274","  1.3125","  1.3125","  0.1250","322.1334"
" -15"," -50366.1272"," -62849.6635","  340","  0.9375","  0.1875","  0.3750","238.9597"
" -14","   -173.7847","   -173.7847","  -25","  0.1875","  0.9375","  0.8750","  7.7022"
" -13","   -173.7847"," -82960.0621","  624","  0.2812","  0.4688","  0.3125"," 54.1491"
" -12","   -173.7847"," -53610.1930","  290","  1.0312","  1.2188","  0.8125","113.9858"
" -11","   -173.7847"," -53877.2471","  295","  1.4062","  0.0938","  0.5625","213.2371"
" -10","   -173.7847"," -61744.9465","  331","  0.6562","  0.8438","  0.0625","289.1794"
"  -9","   -173.7847"," -31184.2522","  248","  0.4688","  0.2812","  0.9375"," 19.8177"
"  -8","   -173.7847"," -51057.8648","  278","  1.2188","  1.0312","  0.4375","276.0951"
"  -7","   -173.7847"," -57502.7232","  311","  0.8438","  0.6562","  0.1875","295.0811"
"  -6","   -173.7847","  -3759.0778","  -94","  0.0938","  1.4062","  0.6875","  5.4669"
"  -5","   -173.7847","  -1900.9655","  -70","  0.1406","  0.7031","  0.8438","  6.0463"
"  -4","   -173.7847"," -54604.4703","  296","  0.8906","  1.4531","  0.3438","271.5214"
"  -3","   -173.7847"," -52329.1590","  288","  1.2656","  0.3281","  0.0938","321.2853"
"  -2","   -173.7847"," -84297.6155","  452","  0.5156","  1.0781","  0.5938"," 84.8630"
"  -1","   -173.7847"," -92134.6835","  502","  0.7031","  0.1406","  0.4688","141.0941"
"   0","   -173.7847"," -54932.9388","  296","  0.9217","  1.1662","  0.4611","237.1379"
"   1","   -173.7847"," -50973.8917","  276","  1.2792","  1.0855","  0.4324","283.4044"
"   2","   -173.7847"," -69550.5835","  371","  1.1523","  0.0000","  0.3875","170.4589"
"   3","   -173.7847"," -53966.7267","  294","  0.9968","  0.7384","  0.4032","260.6876"
"   4","   -173.7847"," -50085.8199","  275","  1.3525","  0.6920","  0.3771","299.6391"
"   5","   -173.7847"," -53084.0896","  286","  1.0599","  1.4375","  0.1660","311.5656"
"   6","   -173.7847"," -87671.6453","  466","  0.5538","  0.2384","  0.3022","183.6243"
"   7","   -173.7847"," -60425.7626","  322","  0.7400","  1.3585","  0.5758","160.1080"
"   8","   -173.7847"," -86935.1453","  449","  0.4310","  0.9332","  0.3104","162.4910"
"   9","   -173.7847"," -59979.3765","  324","  0.7517","  0.5428","  0.0898","296.2126"
"  10","   -173.7847"," -57189.8819","  306","  0.8157","  1.4245","  0.3053","268.4005"
"  11","   -173.7847"," -52115.8418","  284","  1.0911","  1.4860","  0.1509","315.2139"
"  12","   -173.7847"," -13296.3368"," -163","  0.0066","  0.0870","  0.2462","  2.9790"
"  13","   -173.7847"," -52987.7548","  290","  1.0407","  0.7280","  0.0160","320.2321"
"  14","   -173.7847"," -51777.8740","  286","  1.2120","  0.4343","  0.4634","262.0903"
"  15","   -173.7847"," -99370.0531","  639","  0.2536","  0.8823","  0.1247","102.1200"
"  16","   -173.7847"," -63781.3143","  339","  0.6577","  1.2711","  0.4574","186.3704"
"  17","   -173.7847"," -52740.9971","  286","  1.0302","  1.2730","  0.1048","316.6277"
"  18","   -173.7847"," -51147.0895","  282","  1.3490","  0.3634","  0.8066","140.0626"
"  19","   -173.7847"," -50065.8392","  274","  1.3398","  0.9084","  0.4027","292.7263"
"  20","   -173.7847"," -51617.8736","  281","  1.1815","  0.8698","  0.5471","238.6404"
"  21","   -173.7847"," -51249.2651","  280","  1.2592","  1.0045","  0.1327","324.1889"
"  22","   -173.7847"," -60285.7225","  324","  0.8922","  0.4297","  0.6710","132.1073"
"  23","   -173.7847"," -49873.5717","  274","  1.4739","  0.4998","  0.1140","325.1218"
"  24","   -173.7847"," -63094.1783","  338","  0.6439","  1.1670","  0.2618","248.6183"
"  25","   -173.7847"," -51212.4524","  278","  1.2229","  1.1609","  0.0353","326.3531"
"  26","   -173.7847"," -50852.5520","  277","  1.3423","  0.7750","  0.4003","292.6206"
"  27","   -173.7847"," -49396.1093","  269","  1.4322","  1.1721","  0.0953","325.4213"
