"===================================================================================================="
"04/12/2020 19:09:48"
"python calibrate.py --seed ti0-beacon --country CH --area TI --rollouts 200 --ninit 20 --niters 80"
"===================================================================================================="
"Downsampling :                    2"
"Simulation population:            7912"
"Simulation population (unscaled): 15824"
"Area population :                 353343"
"Initial seed counts :             {'expo': 20, 'isym_posi': 6, 'iasy': 4}"
"Target cases per age group at t=0:   6.0 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"Target cases per age group at t=T:   145.0 [1.0, 3.0, 12.0, 15.0, 20.0, 29.0, 17.0, 19.0, 29.0]"
"Daily test capacity in sim.:         8"
"Parameters : 3"
"Parameter bounds: {'beta_site': [0.0, 0.20000000298023224], 'beta_household': [0.0, 0.20000000298023224], 'p_stay_home': [0.0, 1.0]}"
"Simulation starts at : 2020-03-09 00:00:00"
"             ends at : 2020-05-12 00:00:00"
"Lockdown   starts at : 2020-03-16 00:00:00"
"             ends at : 2020-05-10 00:00:00"
"Cases compared until : 2020-05-10 00:00:00"
"            for days : 62"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","  p_home","walltime"
" -20","  -2301.4483","  -2301.4483","   58","  0.1000","  0.1000","  0.5000"," 23.1213"
" -19","  -1551.3099","  -1551.3099","   44","  0.1500","  0.0500","  0.7500"," 17.1490"
" -18","  -1551.3099","  -4960.1072","  104","  0.0500","  0.1500","  0.2500"," 19.9150"
" -17","  -1551.3099","  -4049.5442","   95","  0.0750","  0.0750","  0.6250"," 10.6242"
" -16","   -881.7336","   -881.7336","   22","  0.1750","  0.1750","  0.1250"," 65.4043"
" -15","   -881.7336","  -1676.6810","   43","  0.1250","  0.0250","  0.3750"," 37.4214"
" -14","   -881.7336","  -1621.6064","  -60","  0.0250","  0.1250","  0.8750","  4.1870"
" -13","   -881.7336","  -7558.0370","  164","  0.0375","  0.0625","  0.3125","  9.5808"
" -12","   -881.7336","  -1523.3936","   42","  0.1375","  0.1625","  0.8125"," 15.1169"
" -11","   -881.7336","  -1777.5815","   49","  0.1875","  0.0125","  0.5625"," 29.5924"
" -10","   -881.7336","  -1480.8939","   37","  0.0875","  0.1125","  0.0625"," 49.4647"
"  -9","   -101.8660","   -101.8660","   -1","  0.0625","  0.0375","  0.9375","  5.9524"
"  -8","   -101.8660","  -1024.5315","   26","  0.1625","  0.1375","  0.4375"," 44.2666"
"  -7","   -101.8660","  -1328.1104","   33","  0.1125","  0.0875","  0.1875"," 49.9368"
"  -6","   -101.8660","  -3396.0177","  -82","  0.0125","  0.1875","  0.6875","  3.5651"
"  -5","   -101.8660","  -2761.7128","  -75","  0.0188","  0.0938","  0.8438","  3.7209"
"  -4","   -101.8660","  -1304.3206","   33","  0.1187","  0.1938","  0.3438"," 41.0044"
"  -3","   -101.8660","   -994.3344","   26","  0.1688","  0.0437","  0.0938"," 63.2138"
"  -2","   -101.8660","  -4144.4730","   97","  0.0688","  0.1437","  0.5938"," 11.4025"
"  -1","   -101.8660","  -4355.5065","  102","  0.0938","  0.0188","  0.4688"," 20.1408"
"   0","   -101.8660","   -311.5894","  -26","  0.0193","  0.1397","  0.3743","  6.1234"
"   1","   -101.8660","  -1022.2873","   26","  0.1987","  0.0376","  0.4736"," 46.0709"
"   2","   -101.8660","  -1173.6567","   30","  0.1250","  0.0664","  0.0703"," 58.2229"
"   3","   -101.8660","  -1434.0525","   37","  0.1419","  0.0148","  0.1736"," 51.6449"
"   4","   -101.8660","  -5288.6903","  -99","  0.0090","  0.0228","  0.8701","  4.2023"
"   5","   -101.8660","  -2137.6285","   59","  0.1295","  0.0474","  0.6705"," 18.5343"
"   6","   -101.8660","  -1667.8449","   43","  0.1221","  0.1428","  0.5620"," 26.8460"
"   7","   -101.8660","  -1388.4233","   38","  0.1562","  0.0775","  0.8395"," 15.8529"
"   8","   -101.8660","  -3056.2638","   67","  0.0593","  0.1956","  0.2186"," 28.1786"
"   9","   -101.8660","   -526.1184","   17","  0.0667","  0.1322","  0.9433","  7.8607"
"  10","   -101.8660","  -1466.4038","   37","  0.0866","  0.1748","  0.0501"," 50.8086"
"  11","   -101.8660","  -9546.0477","  177","  0.0436","  0.0396","  0.2297"," 15.6153"
"  12","    -91.0157","    -91.0157","   11","  0.0207","  0.0280","  0.1924","  7.4684"
"  13","    -91.0157","  -2908.7646","   65","  0.0705","  0.0993","  0.3221"," 27.8409"
"  14","    -91.0157","  -2116.8919","   55","  0.1575","  0.0182","  0.8354"," 14.2899"
"  15","    -91.0157","  -1215.1901","   32","  0.1317","  0.1328","  0.9124"," 13.6549"
"  16","    -91.0157","  -1119.0497","   29","  0.1468","  0.1099","  0.2980"," 51.7459"
"  17","    -91.0157","   -746.4411","   27","  0.1048","  0.0164","  0.9332","  9.5998"
"  18","    -91.0157","  -3494.1703","   76","  0.0608","  0.0409","  0.1611"," 30.9256"
"  19","    -91.0157","   -767.9517","   31","  0.0527","  0.0901","  0.7171","  8.2686"
"  20","    -91.0157","  -1654.5107","   43","  0.1156","  0.1215","  0.5287"," 28.9576"
"  21","    -91.0157","  -1140.3188","   30","  0.1692","  0.1769","  0.8982"," 17.2664"
"  22","    -91.0157","   -937.3418","   24","  0.1873","  0.0807","  0.2962"," 59.3888"
"  23","    -91.0157","  -1148.1689","   30","  0.1654","  0.0526","  0.4806"," 42.4514"
"  24","    -91.0157","  -1671.2908","   47","  0.1313","  0.1457","  0.5961"," 27.4532"
"  25","    -91.0157","   -861.1670","   22","  0.1967","  0.0763","  0.1653"," 66.7960"
"  26","    -91.0157","  -2047.3905","   55","  0.1185","  0.1380","  0.7698"," 14.5677"
"  27","    -91.0157","  -5340.8958","  122","  0.0960","  0.0121","  0.5655"," 15.1831"
"  28","    -91.0157","  -8349.3839","  168","  0.0575","  0.0163","  0.2992"," 17.0514"
"  29","    -91.0157","   -708.9054","  -35","  0.0140","  0.1472","  0.2056","  6.8035"
"  30","    -91.0157","  -4746.5456","   98","  0.0422","  0.0446","  0.0129"," 27.6805"
"  31","    -91.0157","  -1284.1741","   33","  0.1356","  0.1654","  0.9578"," 14.6263"
"  32","    -91.0157","   -942.8841","   24","  0.1908","  0.0807","  0.4328"," 50.6198"
