"===================================================================================================="
"27/11/2020 11:16:48"
"python calibrate.py --seed ti0 --country CH --area TI --rollouts 96 --ninit 20 --niters 120 --cpu_count 24 --load /u/hkremer/covid19/simulator/sim/logs/calibration_ti0_state.pk"
"===================================================================================================="
"Downsampling :                    2"
"Simulation population:            7912"
"Simulation population (unscaled): 15824"
"Area population :                 353343"
"Initial seed counts :             {'expo': 20, 'isym_posi': 6, 'iasy': 4}"
"Target cases per age group at t=0:   6.0 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"Target cases per age group at t=T:   145.0 [1.0, 3.0, 12.0, 15.0, 20.0, 29.0, 17.0, 19.0, 29.0]"
"Daily test capacity in sim.:         8"
"Parameters : 3"
"Parameter bounds: {'beta_site': [0.0, 15.0], 'beta_household': [0.0, 15.0], 'p_stay_home': [0.0, 1.0]}"
"Simulation starts at : 2020-03-09 00:00:00"
"             ends at : 2020-05-12 00:00:00"
"Lockdown   starts at : 2020-03-16 00:00:00"
"             ends at : 2020-05-10 00:00:00"
"Cases compared until : 2020-05-10 00:00:00"
"            for days : 62"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","  p_home","walltime"
" -20","  -4692.9658","  -4692.9658","  110","  7.5000","  7.5000","  0.5000","  0.0000"
" -19","  -2033.3833","  -2033.3833","   55"," 11.2500","  3.7500","  0.7500","  0.0000"
" -18","  -2033.3833","  -2898.3912","   94","  3.7500"," 11.2500","  0.2500","  0.0000"
" -17","   -150.8242","   -150.8242","    9","  5.6250","  5.6250","  0.6250","  0.0000"
" -16","   -150.8242","  -1518.9442","   38"," 13.1250"," 13.1250","  0.1250","  0.0000"
" -15","   -150.8242","  -4037.1052","   93","  9.3750","  1.8750","  0.3750","  0.0000"
" -14","   -150.8242","  -3685.7468","  -85","  1.8750","  9.3750","  0.8750","  0.0000"
" -13","    -71.0950","    -71.0950","  -11","  2.8125","  4.6875","  0.3125","  0.0000"
" -12","    -71.0950","  -1278.0614","   39"," 10.3125"," 12.1875","  0.8125","  0.0000"
" -11","    -71.0950","  -3549.7333","   88"," 14.0625","  0.9375","  0.5625","  0.0000"
" -10","    -71.0950","  -3443.0996","   76","  6.5625","  8.4375","  0.0625","  0.0000"
"  -9","    -71.0950","  -1106.9727","  -51","  4.6875","  2.8125","  0.9375","  0.0000"
"  -8","    -71.0950","  -2537.5670","   63"," 12.1875"," 10.3125","  0.4375","  0.0000"
"  -7","    -71.0950","  -2968.6535","   65","  8.4375","  6.5625","  0.1875","  0.0000"
"  -6","    -71.0950","  -5041.4721","  -98","  0.9375"," 14.0625","  0.6875","  0.0000"
