"===================================================================================================="
"03/07/2020 01:19:12"
"python calibrate.py --seed tr0 --country GER --area TR --rollouts 96 --ninit 20 --niters 80 --load /lustre/home/hkremer/covid19-model/calibration/simulator/sim/logs/calibration_tr0_state.pk"
"===================================================================================================="
"Downsampling :                    5"
"Simulation population:            14506"
"Simulation population (unscaled): 72731"
"Area population :                 72731"
"Initial seed counts :             {'expo': 33, 'isym_posi': 10, 'iasy': 7}"
"Target cases per age group at t=0:   10.0 [0.0, 0.0, 1.0, 5.0, 2.0, 2.0]"
"Target cases per age group at t=T:   1118.0 [8.0, 22.0, 188.0, 409.0, 274.0, 217.0]"
"Daily test capacity in sim.:         103"
"Parameters : 3"
"Parameter bounds: {'beta_site': [0.0, 1.5], 'beta_household': [0.0, 1.5], 'p_stay_home': [0.0, 1.0]}"
"Simulation starts at : 2020-03-13 00:00:00"
"             ends at : 2020-05-05 00:00:00"
"Lockdown   starts at : 2020-03-23 00:00:00"
"             ends at : 2020-05-03 00:00:00"
"Cases compared until : 2020-05-03 00:00:00"
"            for days : 51"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","  p_home","walltime"
" -20"," -35215.7830"," -35215.7830","  295","  0.7500","  0.7500","  0.5000","  0.0000"
" -19"," -35215.7830"," -40424.8193"," -232","  1.1250","  0.3750","  0.7500","  0.0000"
" -18"," -35215.7830","-121852.3938","  -37","  0.3750","  1.1250","  0.2500","  0.0000"
" -17"," -35215.7830","-252688.2756"," -666","  0.5625","  0.5625","  0.6250","  0.0000"
" -16"," -35215.7830","-1150488.5207"," 1751","  1.3125","  1.3125","  0.1250","  0.0000"
" -15"," -35215.7830","-245020.9936"," 1346","  0.9375","  0.1875","  0.3750","  0.0000"
" -14"," -35215.7830","-499529.2450"," -999","  0.1875","  0.9375","  0.8750","  0.0000"
" -13"," -35215.7830","-366428.2427"," -770","  0.2812","  0.4688","  0.3125","  0.0000"
" -12"," -32707.8270"," -32707.8270"," -283","  1.0312","  1.2188","  0.8125","  0.0000"
" -11"," -31689.4554"," -31689.4554","  392","  1.4062","  0.0938","  0.5625","  0.0000"
" -10"," -31689.4554","-941660.1252"," 2363","  0.6562","  0.8438","  0.0625","  0.0000"
"  -9"," -31689.4554","-414895.2480"," -915","  0.4688","  0.2812","  0.9375","  0.0000"
"  -8"," -31689.4554","-1530562.0726"," 2780","  1.2188","  1.0312","  0.4375","  0.0000"
"  -7"," -31689.4554","-1095887.5708"," 2490","  0.8438","  0.6562","  0.1875","  0.0000"
"  -6"," -31689.4554","-534010.0751","-1030","  0.0938","  1.4062","  0.6875","  0.0000"
"  -5"," -31689.4554","-523714.6001","-1020","  0.1406","  0.7031","  0.8438","  0.0000"
"  -4"," -31689.4554","-1193462.3229"," 2569","  0.8906","  1.4531","  0.3438","  0.0000"
"  -3"," -31689.4554","-1177444.4918"," 1958","  1.2656","  0.3281","  0.0938","  0.0000"
"  -2"," -31689.4554","-230483.2965"," -628","  0.5156","  1.0781","  0.5938","  0.0000"
"  -1"," -31689.4554","-188737.4925"," -385","  0.7031","  0.1406","  0.4688","  0.0000"
"   0"," -31689.4554","-689509.8644"," 2122","  0.5297","  0.9667","  0.0283","  0.0000"
"   1"," -31689.4554","-553513.3084","-1044","  0.0976","  0.2011","  0.6349","  0.0000"
"   2"," -31689.4554","-487896.0572"," -984","  0.5253","  0.0648","  0.9704","  0.0000"
"   3"," -31689.4554","-334516.2682"," 1603","  0.8564","  0.0790","  0.1567","  0.0000"
"   4"," -31689.4554"," -35568.5073","  465","  1.1040","  0.2443","  0.5792","  0.0000"
"   5"," -31689.4554","-369207.1994"," 1580","  0.8345","  0.5454","  0.3911","  0.0000"
"   6"," -31689.4554","-103621.9842"," -463","  1.4699","  0.1098","  0.8783","  0.0000"
"   7"," -31689.4554","-440697.1035"," -914","  0.1919","  1.2950","  0.3481","  0.0000"
"   8"," -31689.4554","-1451786.5154"," 2270","  1.4545","  0.5813","  0.3080","  0.0000"
