"===================================================================================================="
"04/12/2020 19:09:40"
"python calibrate.py --seed tu0-beacon --country GER --area TU --rollouts 200 --ninit 20 --niters 80"
"===================================================================================================="
"Downsampling :                    10"
"Simulation population:            9054"
"Simulation population (unscaled): 90546"
"Area population :                 227331"
"Initial seed counts :             {'expo': 30, 'isym_posi': 9, 'iasy': 6}"
"Target cases per age group at t=0:   9.0 [0.0, 1.0, 2.0, 5.0, 1.0, 0.0]"
"Target cases per age group at t=T:   491.0 [4.0, 6.0, 128.0, 196.0, 96.0, 61.0]"
"Daily test capacity in sim.:         72"
"Parameters : 3"
"Parameter bounds: {'beta_site': [0.0, 0.20000000298023224], 'beta_household': [0.0, 0.20000000298023224], 'p_stay_home': [0.0, 1.0]}"
"Simulation starts at : 2020-03-12 00:00:00"
"             ends at : 2020-05-05 00:00:00"
"Lockdown   starts at : 2020-03-23 00:00:00"
"             ends at : 2020-05-03 00:00:00"
"Cases compared until : 2020-05-03 00:00:00"
"            for days : 52"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","  p_home","walltime"
" -20","-362507.9793","-362507.9793","  903","  0.1000","  0.1000","  0.5000"," 32.3524"
" -19","-362507.9793","-598991.9823"," 1083","  0.1500","  0.0500","  0.7500"," 37.5843"
" -18"," -13305.7504"," -13305.7504","  217","  0.0500","  0.1500","  0.2500"," 17.6955"
" -17"," -13305.7504"," -25351.8250","  196","  0.0750","  0.0750","  0.6250"," 17.3241"
" -16"," -13305.7504","-715107.4101"," 1148","  0.1750","  0.1750","  0.1250","108.4405"
" -15"," -13305.7504","-884408.9102"," 1644","  0.1250","  0.0250","  0.3750"," 47.8369"
" -14"," -13305.7504"," -50326.4088"," -322","  0.0250","  0.1250","  0.8750","  6.1076"
" -13"," -10548.6197"," -10548.6197"," -128","  0.0375","  0.0625","  0.3125"," 10.0127"
" -12"," -10548.6197","-511688.2514","  957","  0.1375","  0.1625","  0.8125"," 34.3079"
" -11"," -10548.6197","-1111855.7134"," 1764","  0.1875","  0.0125","  0.5625"," 52.2277"
" -10"," -10548.6197","-1363144.3628"," 2360","  0.0875","  0.1125","  0.0625"," 62.7016"
"  -9","  -3738.6075","  -3738.6075"," -106","  0.0625","  0.0375","  0.9375"," 11.2670"
"  -8","  -3738.6075","-1101538.9255"," 1822","  0.1625","  0.1375","  0.4375"," 72.9779"
"  -7","  -3738.6075","-1458262.9639"," 2423","  0.1125","  0.0875","  0.1875"," 68.8968"
"  -6","  -3738.6075"," -76787.5050"," -388","  0.0125","  0.1875","  0.6875","  4.5950"
"  -5","  -3738.6075"," -65416.8719"," -362","  0.0188","  0.0938","  0.8438","  5.2987"
"  -4","  -3738.6075","-1355930.8308"," 2126","  0.1187","  0.1938","  0.3438"," 60.0804"
"  -3","  -3738.6075","-815818.0823"," 1288","  0.1688","  0.0437","  0.0938","104.6607"
"  -2","  -3738.6075"," -21002.7509","  177","  0.0688","  0.1437","  0.5938"," 17.6417"
"  -1","  -3738.6075"," -87034.1723","  491","  0.0938","  0.0188","  0.4688"," 23.2279"
"   0","  -3738.6075","-708291.9478"," 1144","  0.1913","  0.0668","  0.0796","113.3554"
"   1","  -3738.6075"," -71809.0885"," -371","  0.0380","  0.0041","  0.6484","  5.9638"
"   2","  -3738.6075","-158699.4704","  651","  0.0795","  0.0668","  0.3879"," 27.2319"
"   3","  -3738.6075","-701191.6032"," 1133","  0.1956","  0.1157","  0.2030","108.9445"
"   4","  -3738.6075","-1025824.1725"," 1681","  0.1692","  0.0998","  0.4290"," 77.7126"
"   5","  -3738.6075"," -12196.6408","  126","  0.0672","  0.1108","  0.6118"," 16.6525"
"   6","  -3738.6075","-820950.5453"," 1274","  0.1879","  0.1259","  1.0000"," 47.5520"
"   7","  -3738.6075"," -27649.0113"," -213","  0.0300","  0.0341","  0.2059","  9.1889"
