"===================================================================================================="
"29/06/2020 12:20:30"
"python calibrate.py --seed vd0 --country CH --area VD --rollouts 96 --ninit 20 --niters 80"
"===================================================================================================="
"Downsampling :                    10"
"Simulation population:            13908"
"Simulation population (unscaled): 139056"
"Area population :                 799145"
"Initial seed counts :             {'expo': 30, 'isym_posi': 9, 'iasy': 6}"
"Target cases per age group at t=0:   9.0 [0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0]"
"Target cases per age group at t=T:   950.0 [3.0, 19.0, 110.0, 122.0, 143.0, 185.0, 125.0, 100.0, 143.0]"
"Daily test capacity in sim.:         54"
"Parameters : 3"
"Parameter bounds: {'beta_site': [0.0, 1.5], 'beta_household': [0.0, 1.5], 'p_stay_home': [0.0, 1.0]}"
"Simulation starts at : 2020-03-07 00:00:00"
"             ends at : 2020-05-12 00:00:00"
"Lockdown   starts at : 2020-03-16 00:00:00"
"             ends at : 2020-05-10 00:00:00"
"Cases compared until : 2020-05-10 00:00:00"
"            for days : 64"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","  p_home","walltime"
" -20","-226886.9177","-226886.9177","  660","  0.7500","  0.7500","  0.5000","171.6018"
" -19","-226886.9177","-374338.5294"," 1079","  1.1250","  0.3750","  0.7500","116.9652"
" -18","-226886.9177","-306243.0498","  874","  0.3750","  1.1250","  0.2500","168.4925"
" -17","-226886.9177","-334775.9239"," 1204","  0.5625","  0.5625","  0.6250"," 82.3059"
" -16"," -45144.2812"," -45144.2812","  194","  1.3125","  1.3125","  0.1250","228.0240"
" -15"," -45144.2812","-184582.7355","  576","  0.9375","  0.1875","  0.3750","194.9181"
" -14"," -45144.2812","-317130.6713"," -761","  0.1875","  0.9375","  0.8750","  8.3429"
" -13"," -45144.2812","-313647.7513"," 1397","  0.2812","  0.4688","  0.3125","107.2359"
" -12"," -45144.2812","-308755.2490","  962","  1.0312","  1.2188","  0.8125"," 92.7537"
" -11"," -45144.2812","-215132.9072","  636","  1.4062","  0.0938","  0.5625","178.5531"
" -10"," -45144.2812"," -96995.6094","  373","  0.6562","  0.8438","  0.0625","215.7528"
"  -9"," -45144.2812","-165243.2758"," -565","  0.4688","  0.2812","  0.9375"," 17.3053"
